Degree  ID          Text                Receiver    Sender      
1       O8Q0G8      Hello_World!        784188      791221       
2       G1R3R5      Hello_World!        616364      232091       
3       G3E7T6      Hello_World!        198223      600065       
4       S6V1O6      Hello_World!        529397      784188       
5       Z2Y8H1      Hello_World!        526852      198223       
6       K2D8J4      Hello_World!        653826      314487       
7       S5G6E6      Hello_World!        684373      467598       
8       R0W8X5      Hello_World!        450602      979113       
9       T0V5I9      Hello_World!        741290      798420       
10      Z2O2S0      Hello_World!        754931      999974       
11      J8V9K8      Hello_World!        529397      757053       
12      J0A9H5      Hello_World!        759437      361637       
13      E9I8P3      Hello_World!        585919      791221       
14      X1P5Z0      Hello_World!        314487      736636       
15      H0D3N9      Hello_World!        235745      757053       
16      H8X2Y2      Hello_World!        585919      898325       
17      P9F2M8      Hello_World!        512639      764386       
18      U3A3J0      Hello_World!        791221      616364       
19      I7N6T5      Hello_World!        555919      538342       
20      S9V3Q3      Hello_World!        653826      778242       
21      N3I7A1      Hello_World!        450602      759437       
22      W1W8U8      Hello_World!        784188      232091       
23      J2G8X0      Hello_World!        601591      798420       
24      I9T3W3      Hello_World!        764386      986579       
25      G7S7T6      Hello_World!        741290      333842       
26      A5N9O1      Hello_World!        790694      588160       
27      C9M4C0      Hello_World!        555919      292590       
28      P8E2D5      Hello_World!        467598      973449       
29      N9Q9O2      Hello_World!        784188      421200       
30      R0L3A8      Hello_World!        204003      741290       
